Gene_symbol,Chrom,CDS_Begin,CDS_End,MGI_lethal,IMPC,EG,NLG,RVIS_ExAc_score,RVIS_ExAc_perc,pLI_score,pLI_perc,HGMD_tag,OMIM_disorder
ATP2A3,17,3923870,3964464,N,.,N,Y,-1.282372433,4.827226949,0.06445003,45.6,DM,.
ATP2B1,12,89588049,89709300,Y,Subviable,Y,N,-1.394392098,3.953232621,0.999997542,2,.,.
ATP2B2,3,10324023,10708031,N,.,N,Y,-2.802705495,0.711929154,0.999921506,3.6,DM,"{Deafness, autosomal recessive 12, modifier of}, 601386 (3)"
ATP2B3,X,153517676,153582939,N,.,N,N,-0.487921954,20.6633096,0.998768934,6.2,DM,"?Spinocerebellar ataxia, X-linked 1, 302500 (3)"
ATP2B4,1,203626561,203744081,N,.,N,Y,-0.449305125,22.31868959,0.521756389,29.4,DM?,.
ATP2C1,3,130850595,131016712,Y,.,Y,N,-0.994770199,7.935405452,0.999798835,4.3,DM,"Hailey-Hailey disease, 169600 (3)"
ATP2C2,16,84368527,84464187,N,.,N,N,0.526931574,81.50141807,.,.,.,.
ATP4A,19,35550043,35563658,N,.,N,Y,-1.476666571,3.490189269,6.99E-08,86.6,.,.
ATP4B,13,113648804,113658186,N,.,N,Y,0.262082672,68.1773456,1.84E-05,76.5,.,.
ATP5A1,18,46080248,46104334,Y,.,Y,N,-0.189053899,36.22156624,0.998862484,6.1,DM,"?Mitochondrial complex (ATP synthase) deficiency, nuclear type 4, 615228 (3); ?Combined oxidative phosphorylation deficiency 22, 616045 (3)"
ATP5B,12,56638175,56646068,N,Lethal,Y,N,-0.050324612,45.75447126,0.99163507,9.6,.,.
ATP5C1,10,7788129,7807815,N,.,N,N,-0.265193969,31.55061643,0.425803631,32.1,.,.
ATP5D,19,1241746,1244826,N,.,N,N,.,.,0.001183238,64.1,.,.
ATP5E,20,59025467,59032382,N,Lethal,Y,N,0.249648508,67.42490016,0.006056833,57.2,DM,"?Mitochondrial complex V (ATP synthase) deficiency, nuclear type 3, 614053 (3)"
ATP5EP2,13,27945206,27945590,N,.,N,N,.,.,0.022481607,51.1,.,.
ATP5F1,1,111448864,111462773,N,.,N,N,-0.438721742,22.81646119,0.012867526,53.9,.,.
ATP5G1,17,48892765,48895871,N,.,N,N,0.002044933,49.63824738,0.327525829,34.9,.,.
ATP5G2,12,53632726,53677408,N,Subviable,Y,N,0.149386991,60.95386931,0.000275239,68.9,.,.
ATP5G3,2,175176258,175184607,N,.,N,N,0.06302642,54.36707762,0.538092564,28.9,.,.
ATP5H,17,75038863,75046985,N,.,N,N,0.101498578,57.33634312,0.010871565,54.5,.,.
ATP5I,4,672436,674338,N,.,N,N,0.144604076,60.5660705,0.207299098,38.5,.,.
ATP5J,21,25716503,25735673,N,.,N,N,0.145560638,60.65289113,0.100188832,43.1,.,.
ATP5J2,7,99448475,99466331,N,.,N,N,0.169983117,62.51085258,0.34850304,34.2,.,.
ATP5J2-PTCD1,7,99419749,99466197,N,.,N,N,0.72039146,87.45152515,1.78E-09,90.6,.,.
ATP5L,11,118401154,118431496,N,Lethal,Y,N,-0.103955104,41.8649071,0.337891182,34.6,.,.
ATP5L2,22,42639803,42640601,N,.,N,N,0.116504775,58.48816345,0.166948561,39.9,.,.
ATP5O,21,33903453,33915980,N,.,N,N,0.285399426,69.6822365,0.434076663,31.8,.,.
ATP5S,14,50312326,50335558,N,.,N,N,0.567799588,82.98894484,6.30E-05,73.3,.,.
ATP5SL,19,41431318,41440717,N,.,N,N,0.959081062,92.17456734,5.83E-05,73.5,FP,.
ATP6AP1,X,154428632,154436516,Y,.,Y,N,0.100692319,57.27267465,0.827633657,20.7,.,.
ATP6AP1L,5,82279462,82386977,N,.,N,N,0.309821667,71.05979047,0.139629451,41.1,.,.
ATP6AP2,X,40580908,40606637,N,.,N,N,0.049933723,53.40047462,0.785047268,22.1,DM,"?Mental retardation, X-linked, syndromic, Hedera type, 300423 (3); ?Parkinsonism with spasticity, X-linked, 300911 (3)"
ATP6V0A1,17,42458844,42522611,N,Lethal,Y,N,-0.882216924,9.914915784,0.997249735,7.4,DFP,.
ATP6V0A2,12,123712318,123761755,N,.,N,N,-0.194341948,35.87428373,4.74E-06,79.6,DM,"Cutis laxa, autosomal recessive, type IIA, 219200 (3); Wrinkly skin syndrome, 278250 (3)"
ATP6V0A4,7,138706295,138799560,Y,Lethal,Y,N,-0.118354615,40.86357585,1.94E-12,95,DM,"Renal tubular acidosis, distal, autosomal recessive, 602722 (3)"
ATP6V0B,1,43974487,43978295,N,.,N,N,-0.277483031,30.77501881,0.927635231,16.2,.,.
ATP6V0C,16,2513726,2520223,Y,.,Y,N,-0.172439875,37.20553337,0.729144944,23.8,.,.
ATP6V0D1,16,67438014,67481237,N,.,N,N,-0.438721742,22.81646119,0.988131751,10.4,.,.
ATP6V0D2,8,85987323,86154228,N,.,N,Y,0.492915188,80.18174452,2.37E-08,88,.,.
ATP6V0E1,5,172983757,173035445,N,.,N,N,-0.059893552,45.10042253,0.277597261,36.3,.,.
ATP6V0E2,7,149872968,149880698,N,.,N,N,0.331374701,72.39104011,2.06E-05,76.1,.,.
ATP6V1A,3,113747019,113812056,N,.,N,N,0.120481978,58.76598947,0.986543792,10.7,.,.
ATP6V1B1,2,70935882,70965406,N,.,N,Y,-0.432826756,23.07113504,0.00024405,69.2,DM,.
ATP6V1B2,8,20197367,20226819,N,Lethal,Y,N,-0.465862421,21.6299126,0.991448563,9.6,.,.
ATP6V1C1,8,103021063,103073051,N,.,N,N,-0.188249534,36.2562945,0.142543168,40.9,.,.
ATP6V1C2,2,10721649,10785110,N,.,N,N,0.395374663,75.60919141,2.26E-06,81.1,.,.
ATP6V1D,14,67294371,67360265,N,Lethal,Y,N,-0.131096333,39.98379348,0.003151443,60.1,.,.
ATP6V1E1,22,17592136,17628818,N,.,N,N,0.140927298,60.26509232,0.882471623,18.5,.,.
ATP6V1E2,2,46490750,46542557,N,.,N,N,0.44774765,78.23696244,9.71E-05,72,.,.
ATP6V1F,7,128862826,128865844,N,.,N,N,0.086492393,56.17873473,0.56300253,28.4,.,.
ATP6V1G1,9,114587746,114598373,N,.,N,N,.,.,0.045173671,47.6,.,.
ATP6V1G2,6,31544462,31548427,N,.,N,N,-0.005458152,49.05944319,0.224789736,37.8,.,.
ATP6V1G2-DDX39B,6,31530219,31546608,N,.,N,N,.,.,.,.,.,.
ATP6V1G3,1,198523222,198540945,N,.,N,N,0.472979635,79.42351103,0.030501779,49.5,.,.
ATP6V1H,8,53715557,53843558,N,.,N,N,-0.659987499,15.04312091,3.86E-05,74.6,.,.
ATP7A,X,77910656,78050395,Y,.,Y,N,0.782173654,88.83486716,0.999634377,4.9,DM,"Menkes disease, 309400 (3); Occipital horn syndrome, 304150 (3); Spinal muscular atrophy, distal, X-linked 3, 300489 (3)"
ATP7B,13,51932673,52011494,Y,.,Y,N,0.346670554,73.2187301,5.23E-20,98.7,DM,"Wilson disease, 277900 (3)"
ATP8A1,4,42408373,42657105,N,.,N,Y,-1.552800803,3.061874168,0.999804446,4.3,.,.
ATP8A2,13,25372071,26025851,Y,.,Y,N,-1.443915445,3.710134861,0.4180779,32.3,DM,"?Cerebellar ataxia, mental retardation, and dysequilibrium syndrome 4, 615268 (3)"
ATP8B1,18,57646426,57803101,N,.,N,N,-0.103198421,41.9054234,3.67E-07,84.2,DM,"Cholestasis, progressive familial intrahepatic 1, 211600 (3); Cholestasis, benign recurrent intrahepatic, 243300 (3); Cholestasis, intrahepatic, of pregnancy, 1, 147480 (3)"
ATP8B2,1,154325553,154351307,N,.,N,Y,-0.776734806,12.07964346,0.999564592,5,.,.
ATP8B3,19,1782075,1812276,N,.,N,Y,0.527550356,81.53614632,9.19E-22,99,.,.
ATP8B4,15,49858238,50182817,N,.,N,N,0.040470343,52.57857267,2.42E-27,99.5,.,.
ATP9A,20,51596514,51768634,N,.,N,N,-1.883982735,1.950570122,0.999980637,2.8,.,.
ATP9B,18,79069285,79378283,N,.,N,N,-1.626647731,2.737743821,7.02E-12,94.4,.,.
ATPAF1,1,46632737,46673867,N,.,N,N,-0.025096816,47.5834925,0.236382638,37.5,.,.
ATPAF2,17,17977409,18039209,Y,.,Y,N,0.267672556,68.5362042,0.001430538,63.2,DM,"Mitochondrial complex V (ATP synthase) deficiency, nuclear type 1, 604273 (3)"
ATPIF1,1,28236109,28246906,N,.,N,Y,-0.125507302,40.39474446,0.059353504,46.1,.,.
ATR,3,142449235,142578826,Y,Lethal,Y,N,-2.101200763,1.464374602,0.701297833,24.6,DM,.
ATRAID,2,27212027,27217178,N,.,N,N,0.113784984,58.30294611,0.007913949,56,.,.
ATRIP,3,48446710,48465655,N,Lethal,Y,N,-0.504031735,20.02662499,0.00148698,63.1,DM,.
ATRN,20,3471040,3651122,N,.,N,Y,-0.771141629,12.16067604,0.999999976,0.9,DM?,.
ATRNL1,10,115093365,115948992,N,.,N,N,-1.777826596,2.257336343,0.995631864,8.1,DM?,.
ATRX,X,77504878,77786269,Y,.,Y,N,-0.84795316,10.60369277,0.999999982,0.9,DM,"Alpha-thalassemia/mental retardation syndrome, 301040 (3); Alpha-thalassemia myelodysplasia syndrome, somatic, 300448 (3); Mental retardation-hypotonic facies syndrome, X-linked, 309580 (3)"
ATXN1,6,16299112,16761491,N,.,N,Y,-0.168962986,37.46599525,0.398661149,32.8,DM,"Spinocerebellar ataxia 1, 164400 (3)"
ATXN10,22,45671798,45845307,N,Lethal,Y,N,-0.219065877,34.38675696,0.745162923,23.3,DM,"Spinocerebellar ataxia 10, 603516 (3)"
ATXN1L,16,71845991,71885268,Y,.,Y,N,.,.,.,.,.,.
ATXN2,12,111452214,111599676,Y,.,Y,N,-1.006763102,7.767552237,0.999862272,4,DM,"Spinocerebellar ataxia 2, 183090 (3); {Amyotrophic lateral sclerosis, susceptibility to, 13}, 183090 (3); {Parkinson disease, late-onset, susceptibility to}, 168600 (3)"
ATXN2L,16,28823035,28837237,N,.,N,N,-1.982389608,1.695896278,0.999950396,3.2,.,.
ATXN3,14,92038652,92106621,N,.,N,Y,-0.217304588,34.45621346,0.176363908,39.5,DM,"Machado-Joseph disease, 109150 (3)"
ATXN3L,X,13318236,13319952,N,.,N,N,1.183240604,94.88337096,4.32E-09,89.7,FTV,.
ATXN7,3,63864557,64003462,N,.,N,N,-0.752452811,12.54268681,0.928556028,16.2,DM,"Spinocerebellar ataxia 7, 164500 (3)"
ATXN7L1,7,105605067,105876604,N,.,N,N,.,.,0.111091575,42.6,.,.
ATXN7L2,1,109483479,109492804,N,.,N,N,-0.935549769,8.936736702,0.718954812,24.1,.,.
ATXN7L3,17,44191805,44200113,N,Lethal,Y,N,-0.377739799,25.58314522,0.95523889,14.3,.,.
ATXN7L3B,12,74537827,74545430,N,.,N,N,.,.,0.097960612,43.3,.,.
AUH,9,91213815,91361913,N,.,N,N,0.17380942,62.79446663,0.00725254,56.4,DM,"3-methylglutaconic aciduria, type I, 250950 (3)"
AUNIP,1,25831913,25859458,N,.,N,N,0.396181853,75.63234358,5.49E-08,86.8,.,.
AUP1,2,74526645,74529939,N,.,N,N,-0.169415642,37.44284309,0.024155048,50.7,.,.
AURKA,20,56369389,56392337,Y,.,Y,N,0.046257695,53.10528448,0.435603931,31.8,DM?,"{Colon cancer, susceptibility to}, 114500 (3)"
AURKAIP1,1,1373730,1375495,N,.,N,N,0.280765669,69.35810615,0.002475388,61.2,.,.
AURKB,17,8204733,8210600,Y,.,Y,N,-0.040907923,46.57058517,0.005882339,57.3,DM?,.
AURKC,19,57230802,57235548,N,.,N,Y,-0.552226052,18.13393529,0.151759586,40.5,DM,.
AUTS2,7,69598919,70793068,N,.,N,N,-1.87909671,1.956358164,0.996187482,7.9,DM,.
AVEN,15,33866227,34039176,N,.,N,Y,0.406554426,76.19378364,5.70E-08,86.8,.,.
AVIL,12,57797376,57818704,Y,.,Y,N,0.632107979,85.10736818,1.03E-10,92.9,.,.
AVL9,7,32495426,32588721,N,.,N,N,-0.161760738,37.87694623,0.000325495,68.4,.,.
AVP,20,3082556,3084724,Y,Lethal,Y,N,.,.,0.183145102,39.2,DM,"Diabetes insipidus, neurohypophyseal, 125700 (3)"
AVPI1,10,97677424,97687323,N,Viable,N,Y,1.028384116,93.12959426,1.07E-05,77.8,.,.
AVPR1A,12,63142759,63150942,N,.,N,Y,0.029489373,51.73930659,1.29E-05,77.4,DFP,.
AVPR1B,1,206109692,206117699,N,.,N,Y,0.338220438,72.790415,2.82E-05,75.3,DP,.
AVPR2,X,153902531,153907166,Y,.,Y,N,1.240547965,95.38114256,0.11988562,42.1,DM,"Diabetes insipidus, nephrogenic, 304800 (3); Nephrogenic syndrome of inappropriate antidiuresis, 300539 (3)"
AWAT1,X,70234655,70240627,N,.,N,N,0.264802972,68.36835099,0.015095904,53.1,.,.
AWAT2,X,70040542,70049938,N,.,N,N,0.101498578,57.33634312,0.603147994,27.4,.,.
AXDND1,1,179365720,179554735,N,.,N,N,0.116306296,58.43607108,1.80E-15,97.2,.,.
AXIN1,16,287440,352673,Y,.,Y,N,-0.10239182,41.96909186,0.247772064,37.2,DM,"Hepatocellular carcinoma, somatic, 114550 (3); ?Caudal duplication anomaly, 607864 (3)"
AXIN2,17,65528563,65561647,Y,.,Y,N,-0.10239182,41.96909186,0.119052193,42.2,DM,"Oligodontia-colorectal cancer syndrome, 608615 (3); Colorectal cancer, somatic, 114500 (3)"
AXL,19,41219203,41261766,N,.,N,Y,-0.3499951,26.79284598,0.766301151,22.7,FTV,.
AZGP1,7,99966720,99976157,N,.,N,Y,0.223610811,65.85055276,0.017597583,52.3,.,.
AZI2,3,28315003,28349127,N,.,N,Y,-0.03627546,46.84841118,0.185308909,39.1,.,.
AZIN1,8,102826357,102893864,Y,.,Y,N,-0.40679489,24.07246628,0.991669447,9.5,.,.
AZIN2,1,33081104,33120530,N,.,N,N,.,.,.,.,.,.
AZU1,19,825097,832018,N,.,N,N,0.504095467,80.61584766,8.74E-05,72.3,.,.
B2M,15,44711477,44718877,N,.,N,Y,-0.044887353,46.22330266,0.856561948,19.7,DM,"Hypoproteinemia, hypercatabolic, 241600 (3)"
B3GALNT1,3,161083883,161105384,Y,.,Y,N,-0.27924293,30.68241014,0.248006524,37.2,DM,.
B3GALNT2,1,235449923,235504481,N,.,N,N,-0.068049328,44.53319442,4.87E-06,79.6,DM,"Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies, type A, 11, 615181 (3)"
B3GALT1,2,167868948,167874041,N,.,N,N,-0.211715637,34.80928402,0.329724364,34.9,.,.
B3GALT2,1,193179045,193186654,N,.,N,Y,-0.5962877,16.80268565,0.491100476,30.2,.,.
B3GALT4,6,33277132,33284832,N,.,N,N,-0.663816607,14.92736007,0.236708748,37.5,.,.
B3GALT5,21,39556442,39673137,N,.,N,Y,-0.314843927,28.5639868,0.003583967,59.6,.,.
B3GALT6,1,1232265,1235041,N,.,N,N,.,.,0.048104466,47.2,DM,"Spondyloepimetaphyseal dysplasia with joint laxity, type 1, with or without fractures, 271640 (3); Ehlers-Danlos syndrome, progeroid type, 2, 615349 (3)"
B3GAT1,11,134378504,134411918,N,.,N,Y,-0.474322733,21.23632575,0.789152807,22,DM?,.
B3GAT2,6,70856679,70957038,N,.,N,N,-0.195752553,35.7874631,7.04E-07,83.1,.,.
B3GAT3,11,62615296,62622175,N,.,N,N,-0.502420818,20.06714129,0.000286975,68.8,DM,"Multiple joint dislocations, short stature, craniofacial dysmorphism, and congenital heart defects, 245600 (3)"
B3GLCT,13,31199936,31332276,N,.,N,N,.,.,.,.,.,"Peters-plus syndrome, 261540 (3)"
B3GNT2,2,62196113,62224731,N,.,N,Y,-0.224807605,34.0336864,0.696953714,24.7,.,.
B3GNT3,19,17794828,17813082,N,.,N,Y,0.0200728,51.09683394,0.20097195,38.7,DP,.
B3GNT4,12,122203543,122208952,N,.,N,N,-0.2423802,32.90501823,3.94E-06,80,.,.
B3GNT5,3,183253244,183298504,Y,.,Y,N,0.032208434,52.02870869,0.630704047,26.6,.,.
B3GNT6,11,77034398,77041973,N,.,N,Y,1.162639977,94.65763732,2.42E-06,80.9,.,.
B3GNT7,2,231395543,231401164,N,Viable,N,Y,-0.21156288,34.83822423,0.62084526,26.9,.,.
B3GNT8,19,41425359,41428730,N,.,N,N,0.209712323,65.05759102,3.49E-07,84.3,.,.
B3GNT9,16,67148105,67151214,N,.,N,N,-0.240770687,32.9976269,0.022824654,51,.,.
B3GNTL1,17,82942155,83051810,N,.,N,N,0.751852095,88.12872605,2.14E-11,93.9,.,.
B4GALNT1,12,57623410,57633355,N,.,N,Y,-0.543611442,18.44070151,0.056073773,46.4,DM,"Spastic paraplegia 26, autosomal recessive, 609195 (3)"
B4GALNT2,17,49132460,49176840,N,.,N,Y,0.090621427,56.49707704,9.64E-07,82.6,.,.
B4GALNT3,12,460364,563509,N,.,N,Y,0.809638013,89.32106268,1.06E-07,86.1,.,.
B4GALNT4,11,369796,382116,N,.,N,N,0.080399727,55.73884355,0.816930491,21.1,.,.
B4GALT1,9,33104082,33167356,Y,.,Y,N,-0.171329534,37.29814204,0.486324788,30.4,DM,"Congenital disorder of glycosylation, type IId, 607091 (3)"
B4GALT2,1,43978943,43991170,N,.,N,Y,-0.334481932,27.51635122,0.295417381,35.8,.,.
B4GALT3,1,161171310,161177968,N,.,N,N,-0.403923475,24.17665104,0.020822874,51.4,.,.
B4GALT4,3,119211732,119241103,N,.,N,N,-0.134771456,39.75805985,2.33E-06,81,.,.
B4GALT5,20,49632945,49713878,Y,.,Y,N,0.098778904,57.07588123,0.991657871,9.6,.,.
B4GALT6,18,31622247,31685836,N,.,N,N,-0.255776741,32.13520866,0.995466888,8.2,.,.
B4GALT7,5,177600100,177610347,N,.,N,N,-0.477997281,21.09741275,0.003197496,60,DM,"Ehlers-Danlos syndrome, progeroid type, 1, 130070 (3)"
B4GAT1,11,66345372,66347692,N,.,Y,N,.,.,.,.,.,.
B9D1,17,19337554,19378182,Y,.,Y,N,-0.015680094,48.2317532,0.119139656,42.2,DM,"?Meckel syndrome 9, 614209 (3)"
B9D2,19,41354421,41364173,Y,.,Y,N,-0.000674037,49.38936158,0.000844599,65.4,DM,"Meckel syndrome 10, 614175 (3)"
BAALC,8,103140710,103230305,N,.,N,N,0.57802637,83.37095561,5.02E-05,73.9,FP,.
BAAT,9,101360417,101383519,N,.,N,N,-0.059589522,45.15830295,7.96E-06,78.6,DM,"Hypercholanemia, familial, 607748 (3)"
BABAM1,19,17267350,17281249,N,.,N,N,0.052803966,53.57411588,0.729375765,23.8,DP,.
BACE1,11,117285207,117316259,Y,.,Y,N,-0.352359149,26.65972102,0.944278809,15.3,DFP,.
BACE2,21,41167801,41282518,N,.,N,Y,-0.841981514,10.74839382,0.952644809,14.5,.,.
BACH1,21,29194071,29630751,N,Subviable,Y,N,-0.437459904,22.87434161,0.0141864,53.4,.,.
BACH2,6,89926529,90296908,N,.,N,Y,-0.351099457,26.71181339,0.874039851,18.9,.,.
BAD,11,64269830,64284704,N,.,N,Y,0.253474025,67.62169358,0.000414579,67.6,.,.
BAG1,9,33247820,33264763,Y,.,Y,N,0.435610474,77.68131041,.,.,.,.
BAG2,6,57172326,57189833,N,.,N,N,-0.186488904,36.36626729,0.088336138,43.9,.,.
BAG3,10,119651370,119677819,Y,Lethal,Y,N,0.299900751,70.49835041,0.53203443,29.1,DM,"Myopathy, myofibrillar, 6, 612954 (3); Cardiomyopathy, dilated, 1HH, 613881 (3)"
BAG4,8,38176533,38213301,N,.,N,Y,0.362492381,74.04063205,0.023740903,50.7,.,.
BAG5,14,103556544,103562831,N,.,N,N,-0.462034049,21.80355386,0.043218188,47.8,.,.
BAG6,6,31639028,31652705,Y,.,Y,N,-1.889580036,1.915841871,0.999987886,2.6,DP,.
BAGE5,22,11066501,11068089,N,.,N,N,.,.,.,.,.,.
BAHCC1,17,81395475,81466332,Y,.,Y,N,.,.,.,.,.,.
BAHD1,15,40439721,40468242,N,.,N,Y,0.363753561,74.08114835,0.991930032,9.5,.,.
BAIAP2,17,81035122,81117432,N,Subviable,Y,N,-0.961885913,8.519997685,0.464202489,31,.,.
BAIAP2L1,7,98291651,98401068,N,.,N,N,0.119676499,58.71968513,0.042773726,47.9,.,.
BAIAP2L2,22,38084889,38110670,N,Viable,N,Y,0.335350119,72.61677375,0.000100358,71.9,.,.
BAIAP3,16,1333601,1349441,N,.,N,Y,-0.366482921,26.05197662,2.21E-19,98.5,.,.
BAK1,6,33572547,33580293,N,.,N,Y,0.240380673,66.89818834,0.003486548,59.7,.,.
BAMBI,10,28677342,28682939,N,Viable,N,Y,-0.150734446,38.66411993,0.002176656,61.6,.,.
BANF1,11,66002079,66004149,N,.,N,N,0.000131289,49.44145396,0.739287243,23.5,DM,"Nestor-Guillermo progeria syndrome, 614008 (3)"
BANF2,20,17693672,17735871,N,.,N,N,0.145560638,60.65289113,0.048123609,47.2,.,.
BANK1,4,101411286,102074812,N,.,N,Y,0.551331208,82.49696128,1.76E-10,92.6,DFP,.
BANP,16,87949244,88118422,N,.,N,N,-0.518231377,19.52306535,0.958647668,14.1,.,.
BAP1,3,52401013,52410350,Y,.,Y,N,-0.638282461,15.72610986,0.385637504,33.1,DM,"Tumor predisposition syndrome, 614327 (3)"
BARD1,2,214725646,214809711,Y,.,Y,N,-0.681241615,14.46431672,1.18E-11,94.2,DM,"{Breast cancer, susceptibility to}, 114480 (3)"
BARHL1,9,132582185,132590266,N,.,N,Y,-0.400249026,24.39659663,0.038438589,48.5,.,.
BARHL2,1,90711539,90717237,Y,.,Y,N,0.192642013,63.98680326,0.222344944,37.9,.,.
BARX1,9,93951622,93955372,Y,.,Y,N,.,.,0.690516091,24.9,.,.
BARX2,11,129375940,129452279,N,Subviable,Y,N,0.246119954,67.25704694,0.123464488,41.9,.,.
BASP1,5,17065598,17276843,Y,.,Y,N,0.435463288,77.66394629,0.539222353,28.9,.,.
BATF,14,75522425,75547015,N,.,N,Y,-0.133967403,39.81015223,0.74490492,23.3,.,.
BATF2,11,64987943,64997045,N,.,N,Y,0.652248451,85.69774845,0.029531877,49.7,.,.
BATF3,1,212686418,212699985,N,.,N,Y,0.129597795,59.37952191,0.030761382,49.5,.,.
BAX,19,48954815,48961798,N,.,N,Y,-0.249230788,32.49406726,0.167938541,39.8,DFP,"Colorectal cancer, somatic, 114500 (3); T-cell acute lymphoblastic leukemia, somatic, 613065 (3)"
BAZ1A,14,34752731,34875647,N,Viable,N,Y,-1.899823947,1.857961452,0.999999774,1.3,.,.
BAZ1B,7,73440398,73522278,Y,.,Y,N,-2.001214034,1.649591943,0.999999563,1.5,.,.
BAZ2A,12,56595596,56636816,N,.,N,N,-1.700646911,2.442553684,0.999999726,1.3,.,.
BAZ2B,2,159318979,159616692,N,.,N,N,-1.315754322,4.607281357,0.99992144,3.6,.,.
BBC3,19,47220822,47232766,N,.,N,Y,.,.,0.071243538,45,.,.
BBIP1,10,110898730,110919274,Y,.,Y,N,.,.,.,.,.,"?Bardet-Biedl syndrome 18, 615995 (3)"
BBOX1,11,27040725,27127809,N,Subviable,Y,N,-0.267911686,31.37118713,1.50E-12,95.1,.,.
BBS1,11,66510606,66533627,Y,.,Y,N,0.343961939,73.09139318,1.78E-07,85.3,DM,"Bardet-Biedl syndrome 1, 209900 (3)"
BBS10,12,76344474,76348442,N,Lethal,Y,N,-0.489981901,20.60542918,6.78E-09,89.3,DM,"Bardet-Biedl syndrome 10, 615987 (3)"
BBS12,4,122732702,122744943,N,.,N,Y,0.350507982,73.38658332,3.93E-07,84.1,DM,"Bardet-Biedl syndrome 12, 615989 (3)"
BBS2,16,56466836,56520283,N,.,N,Y,-0.050978291,45.70816693,1.85E-10,92.5,DM,"Bardet-Biedl syndrome 2, 615981 (3); Retinitis pigmentosa 74, 616562 (3)"
BBS4,15,72686179,72738476,Y,Subviable,Y,N,0.271650036,68.78509,0.000141017,70.9,DM,"Bardet-Biedl syndrome 4, 615982 (3)"
BBS5,2,169479178,169506655,N,Viable,N,Y,-0.097256408,42.28164612,0.002599365,61,DM,"Bardet-Biedl syndrome 5, 615983 (3)"
BBS7,4,121824440,121870497,N,Subviable,Y,N,-0.608269539,16.50749551,0.001178746,64.1,DM,"Bardet-Biedl syndrome 7, 615984 (3)"
BBS9,7,33129244,33606068,N,.,N,N,-0.231857415,33.61115934,6.38E-10,91.5,DM,"Bardet-Biedl syndrome 9, 615986 (3)"
BBX,3,107522936,107811324,N,.,N,Y,-0.233770467,33.44909417,0.958097849,14.1,.,.
BCAM,19,44809059,44821420,N,.,N,Y,1.43978974,96.65451178,0.036851184,48.7,FP,"[Blood group, Lutheran system], 111200 (3); [Blood group, Auberger system], 111200 (3); [Blood group, Lutheran null], 247420 (3)"
BCAN,1,156641390,156659532,N,.,N,Y,-0.871555489,10.14643746,0.003612125,59.5,.,.
BCAP29,7,107579977,107629170,N,.,N,N,0.117611782,58.55761996,0.220058296,38,.,.
BCAP31,X,153700497,153724697,N,.,N,N,0.23846774,66.7534873,0.869367471,19.1,DM,"Deafness, dystonia, and cerebral hypomyelination, 300475 (3)"
BCAR1,16,75228187,75268053,Y,.,Y,N,0.460651194,78.84470684,0.992956578,9.2,.,.
BCAR3,1,93561786,93847150,N,.,N,Y,0.876046181,90.68704057,0.916779855,16.9,.,.
BCAS1,20,53936777,54070594,N,.,N,N,0.925539471,91.61312728,0.013656996,53.6,.,.
BCAS2,1,114567557,114581639,N,.,N,N,-0.410624002,23.91618915,6.53E-05,73.1,.,.
BCAS3,17,60677453,61392838,N,.,N,N,-1.061201249,7.044046999,0.998848202,6.1,.,.
BCAS4,20,50794894,50882676,N,.,N,N,0.437375642,77.75655496,0.046639324,47.4,.,.
BCAT1,12,24810022,24949459,N,.,N,Y,-0.099974947,42.10800486,7.05E-06,78.9,.,?Hyperleucinemia-isoleucinemia or hypervalinemia (1)
BCAT2,19,48795062,48811029,Y,.,Y,N,0.203015042,64.55981941,1.71E-11,94,.,?Hypervalinemia or hyperleucine-isoleucinemia (1)
BCCIP,10,125823546,125853695,N,.,N,N,0.142034241,60.34033686,0.001654858,62.7,.,.
BCDIN3D,12,49836039,49843129,N,.,N,N,-0.201341563,35.40545234,0.005039148,58.1,.,.
BCHE,3,165772904,165837472,N,.,N,Y,0.666596561,86.12027551,4.44E-11,93.4,DM,"Apnea, postanesthetic (3)"
BCKDHA,19,41397460,41431345,N,.,N,N,-0.444157039,22.51548301,7.66E-08,86.4,DM,"Maple syrup urine disease, type Ia, 248600 (3)"
BCKDHB,6,80106647,80346270,N,.,N,N,-0.466819625,21.58360827,2.91E-06,80.6,DM,"Maple syrup urine disease, type Ib, 248600 (3)"
BCKDK,16,31106107,31112791,Y,.,Y,N,-0.629017485,15.89975111,0.005804358,57.4,DM,"Branched-chain ketoacid dehydrogenase kinase deficiency, 614923 (3)"
BCL10,1,85266248,85277090,Y,.,Y,N,0.375437469,74.69468079,0.118213219,42.2,DP,"Lymphoma, MALT, somatic, 137245 (3); {Lymphoma, follicular, somatic}, 613024 (3); {Male germ cell tumor, somatic}, 273300, (3); {Sezary syndrome, somatic}, (3); {Mesothelioma, somatic}, 156240 (3); ?Immunodeficiency 37, 616098 (3)"
BCL11A,2,60451167,60553567,Y,.,Y,N,-1.55389815,3.050298084,0.828999685,20.7,DM?,.
BCL11B,14,99169287,99271524,Y,.,Y,N,-0.738695505,12.9420617,0.929785242,16.2,.,.
BCL2,18,63123346,63320128,Y,.,Y,N,-0.092624171,42.6520808,0.337855764,34.6,DFP,"Leukemia/lymphoma, B-cell, 2 (3)"
BCL2A1,15,79960889,79971446,N,.,N,Y,0.079946001,55.69832726,0.481233411,30.5,DP,.
