Gene/product,Gene/product name,GO class (direct),PANTHER family,Reference
Zfp653,zinc finger protein 653,transcription corepressor activity,zinc finger protein pthr46179,PMID:21873635
Zfp653,zinc finger protein 653,transcription coregulator activity,zinc finger protein pthr46179,MGI:MGI:4834177|GO_REF:0000096
Kat2b,K(lysine) acetyltransferase 2B,transcription coregulator activity,gh11602p pthr45750,MGI:MGI:3576958|PMID:15647252
Kat2b,K(lysine) acetyltransferase 2B,transcription coactivator activity,gh11602p pthr45750,MGI:MGI:3513590|PMID:15509593
Kat2b,K(lysine) acetyltransferase 2B,transcription coactivator activity,gh11602p pthr45750,MGI:MGI:4834177|GO_REF:0000096
Kat2b,K(lysine) acetyltransferase 2B,transcription coactivator activity,gh11602p pthr45750,MGI:MGI:4834177|GO_REF:0000096
Hdac3,histone deacetylase 3,transcription corepressor activity,histone deacetylase pthr10625,MGI:MGI:87634|PMID:9111338
Notch1,notch 1,transcription coactivator activity,slit homolog pthr45836,MGI:MGI:3701380|PMID:17336907
Notch1,notch 1,transcription coactivator activity,slit homolog pthr45836,MGI:MGI:3718933|PMID:17658278
Notch1,notch 1,transcription coactivator activity,slit homolog pthr45836,MGI:MGI:5318024|PMID:18331720
Ajuba,ajuba LIM protein,transcription corepressor activity,lim domain-containing protein jub pthr24219,MGI:MGI:4834177|GO_REF:0000096
Ajuba,ajuba LIM protein,transcription corepressor activity,lim domain-containing protein jub pthr24219,MGI:MGI:3773767|PMID:17909014
Ajuba,ajuba LIM protein,transcription corepressor activity,lim domain-containing protein jub pthr24219,PMID:21873635
Ajuba,ajuba LIM protein,transcription corepressor activity,lim domain-containing protein jub pthr24219,MGI:MGI:4834177|GO_REF:0000096
Nr0b2,"nuclear receptor subfamily 0, group B, member 2",transcription corepressor activity,nuclear receptor subfamily 0 group b pthr24081,PMID:21873635
Nr0b2,"nuclear receptor subfamily 0, group B, member 2",transcription corepressor activity,nuclear receptor subfamily 0 group b pthr24081,MGI:MGI:4834177|GO_REF:0000096
Fgf2,fibroblast growth factor 2,nuclear receptor coactivator activity,fibroblast growth factor pthr11486,PMID:21873635
Ccar2,cell cycle activator and apoptosis regulator 2,nuclear receptor coactivator activity,cell division cycle and apoptosis regulator protein pthr14304,MGI:MGI:1303245|PMID:9748262
Hipk3,homeodomain interacting protein kinase 3,transcription corepressor activity,dual specificity protein kinase pthr24058,MGI:MGI:1303245|PMID:9748262
Hipk1,homeodomain interacting protein kinase 1,transcription corepressor activity,dual specificity protein kinase pthr24058,MGI:MGI:4834177|GO_REF:0000096
Tacc1,"transforming, acidic coiled-coil containing protein 1",nuclear receptor coactivator activity,transforming acidic coiled-coil containing protein 1/2 pthr13924,MGI:MGI:4834177|GO_REF:0000096
Trim37,tripartite motif-containing 37,transcription coactivator activity,e3 ubiquitin-protein ligase trim37 pthr36754,MGI:MGI:2182264|PMID:12050133
Tle5,"TLE family member 5, transcriptional modulator",transcription corepressor activity,transducin-like enhancer protein pthr10814,MGI:MGI:4834177|GO_REF:0000096
Tle5,"TLE family member 5, transcriptional modulator",transcription corepressor activity,transducin-like enhancer protein pthr10814,PMID:21873635
Tle5,"TLE family member 5, transcriptional modulator",transcription corepressor activity,transducin-like enhancer protein pthr10814,MGI:MGI:4834177|GO_REF:0000096
Med16,mediator complex subunit 16,transcription coactivator activity,thyroid hormone receptor-associated protein-related pthr13224,PMID:21873635
Pias2,protein inhibitor of activated STAT 2,transcription coregulator activity,zinc finger miz domain-containing protein pthr10782,MGI:MGI:4834177|GO_REF:0000096
Uxt,ubiquitously expressed prefoldin like chaperone,transcription corepressor activity,mediator of rna polymerase ii transcription subunit 10 pthr13345,PMID:21873635
Uxt,ubiquitously expressed prefoldin like chaperone,transcription corepressor activity,mediator of rna polymerase ii transcription subunit 10 pthr13345,PMID:21873635
Uxt,ubiquitously expressed prefoldin like chaperone,transcription coregulator activity,mediator of rna polymerase ii transcription subunit 10 pthr13345,MGI:MGI:2154458|GO_REF:0000008
Jade1,jade family PHD finger 1,transcription coactivator activity,phd finger proteins pthr13793,MGI:MGI:3616918|PMID:16254014
Ube3a,ubiquitin protein ligase E3A,transcription coactivator activity,ubiquitin-protein ligase e3a-related pthr45622,PMID:21873635
Kat6b,K(lysine) acetyltransferase 6B,transcription coregulator activity,histone acetyltransferase pthr10615,MGI:MGI:4834177|GO_REF:0000096
Trip4,thyroid hormone receptor interactor 4,transcription coactivator activity,thyroid receptor interacting protein related pthr12963,PMID:21873635
Trip4,thyroid hormone receptor interactor 4,transcription coactivator activity,thyroid receptor interacting protein related pthr12963,MGI:MGI:2152098|GO_REF:0000002
Bcl9l,B cell CLL/lymphoma 9-like,transcription coactivator activity,bcl9 pthr15185,MGI:MGI:3688031|PMID:11799127
Daxx,Fas death domain-associated protein,transcription coactivator activity,death domain-associated protein 6 daxx pthr12766,MGI:MGI:4834177|GO_REF:0000096
Daxx,Fas death domain-associated protein,transcription coactivator activity,death domain-associated protein 6 daxx pthr12766,MGI:MGI:4834177|GO_REF:0000096
Daxx,Fas death domain-associated protein,transcription corepressor activity,death domain-associated protein 6 daxx pthr12766,MGI:MGI:3688031|PMID:11799127
Daxx,Fas death domain-associated protein,transcription corepressor activity,death domain-associated protein 6 daxx pthr12766,PMID:21873635
Daxx,Fas death domain-associated protein,transcription corepressor activity,death domain-associated protein 6 daxx pthr12766,MGI:MGI:4834177|GO_REF:0000096
Birc2,baculoviral IAP repeat-containing 2,transcription coactivator activity,inhibitor of apoptosis pthr10044,MGI:MGI:5288521|PMID:21960634
Kdm5a,lysine (K)-specific demethylase 5A,transcription coactivator activity,lysine-specific demethylase pthr10694,MGI:MGI:1861161|PMID:10854042
Pias4,protein inhibitor of activated STAT 4,transcription corepressor activity,zinc finger miz domain-containing protein pthr10782,MGI:MGI:2154657|PMID:11731474
Pias4,protein inhibitor of activated STAT 4,transcription corepressor activity,zinc finger miz domain-containing protein pthr10782,PMID:21873635
Pias4,protein inhibitor of activated STAT 4,transcription coregulator activity,zinc finger miz domain-containing protein pthr10782,MGI:MGI:4834177|GO_REF:0000096
Tcerg1,transcription elongation regulator 1 (CA150),transcription corepressor activity,transcription elongation regulator 1 pthr15377,PMID:21873635
Tcerg1,transcription elongation regulator 1 (CA150),transcription coregulator activity,transcription elongation regulator 1 pthr15377,MGI:MGI:1930397|PMID:11221845
Insm2,insulinoma-associated 2,transcription corepressor activity,insulinoma-associated 1 pthr15065,MGI:MGI:1355392|PMID:10777215
Atf7ip,activating transcription factor 7 interacting protein,transcription corepressor activity,activating transcription factor 7 interacting protein pthr23210,MGI:MGI:2152098|GO_REF:0000002
Crebbp,CREB binding protein,transcription coregulator activity,cbp/p300-related pthr13808,MGI:MGI:3687828|PMID:10733899
Crebbp,CREB binding protein,transcription coactivator activity,cbp/p300-related pthr13808,MGI:MGI:4834177|GO_REF:0000096
Crebbp,CREB binding protein,transcription coactivator activity,cbp/p300-related pthr13808,MGI:MGI:67494|PMID:7913207
Crebbp,CREB binding protein,transcription coactivator activity,cbp/p300-related pthr13808,MGI:MGI:4834177|GO_REF:0000096
Crebbp,CREB binding protein,transcription corepressor activity,cbp/p300-related pthr13808,PMID:21873635
Crebbp,CREB binding protein,transcription coactivator activity,cbp/p300-related pthr13808,MGI:MGI:4834177|GO_REF:0000096
Zfpm2,"zinc finger protein, multitype 2",transcription coactivator activity,friend of gata2-related pthr12958,MGI:MGI:1333319|PMID:9927675
Zfpm2,"zinc finger protein, multitype 2",transcription corepressor activity,friend of gata2-related pthr12958,MGI:MGI:2653650|PMID:12606418
Zfpm2,"zinc finger protein, multitype 2",transcription corepressor activity,friend of gata2-related pthr12958,MGI:MGI:3711633|PMID:17445768
Zfpm2,"zinc finger protein, multitype 2",transcription corepressor activity,friend of gata2-related pthr12958,MGI:MGI:3711633|PMID:17445768
Zfpm2,"zinc finger protein, multitype 2",transcription corepressor activity,friend of gata2-related pthr12958,MGI:MGI:3850304|PMID:19350017
Scai,suppressor of cancer cell invasion,transcription corepressor activity,protein scai pthr21243,MGI:MGI:4834177|GO_REF:0000096
Scai,suppressor of cancer cell invasion,transcription corepressor activity,protein scai pthr21243,PMID:21873635
Scai,suppressor of cancer cell invasion,transcription corepressor activity,protein scai pthr21243,MGI:MGI:2152098|GO_REF:0000002
Hsbp1,heat shock factor binding protein 1,transcription corepressor activity,heat shock factor binding protein 1 pthr19424,MGI:MGI:3028428|PMID:15062575
Map3k10,mitogen-activated protein kinase kinase kinase 10,transcription corepressor activity,serine/threonine-protein kinase tnni3k-related pthr44329,PMID:21873635
Mpnd,MPN domain containing,transcription coactivator activity,swi/snf complex-related pthr12802,PMID:21873635
Med8,mediator complex subunit 8,transcription coregulator activity,mediator of rna polymerase ii transcription subunit 8 pthr13074,MGI:MGI:4834177|GO_REF:0000096
Nme2,NME/NM23 nucleoside diphosphate kinase 2,transcription coactivator activity,nucleoside diphosphate kinase pthr11349,MGI:MGI:2152098|GO_REF:0000002
Med9,mediator complex subunit 9,transcription coregulator activity,"mediator of rna polymerase ii transcription, subunit 9 pthr20844",MGI:MGI:2152098|GO_REF:0000002
Skor1,SKI family transcriptional corepressor 1,transcription corepressor activity,ski oncogene-related pthr10005,MGI:MGI:4834177|GO_REF:0000096
Kmt5a,lysine methyltransferase 5A,transcription corepressor activity,n-lysine methyltransferase kmt5a pthr46167,MGI:MGI:1930091|PMID:11084035
Maged1,MAGE family member D1,transcription coactivator activity,melanoma-associated antigen  mage antigen pthr11736,PMID:21873635
Fhl3,four and a half LIM domains 3,transcription coregulator activity,four and a half lim domains protein pthr24205,MGI:MGI:3708423|PMID:17150957
Rere,arginine glutamic acid dipeptide (RE) repeats,transcription coactivator activity,atrophin-related pthr13859,MGI:MGI:3708423|PMID:17150957
Rere,arginine glutamic acid dipeptide (RE) repeats,transcription corepressor activity,atrophin-related pthr13859,PMID:21873635
Rere,arginine glutamic acid dipeptide (RE) repeats,transcription corepressor activity,atrophin-related pthr13859,MGI:MGI:4834177|GO_REF:0000096
Kat5,K(lysine) acetyltransferase 5,transcription coactivator activity,histone acetyltransferase pthr10615,MGI:MGI:2446944|PMID:12464179
Kat5,K(lysine) acetyltransferase 5,transcription coactivator activity,histone acetyltransferase pthr10615,PMID:21873635
Kat5,K(lysine) acetyltransferase 5,transcription coregulator activity,histone acetyltransferase pthr10615,MGI:MGI:4834177|GO_REF:0000096
Prmt2,protein arginine N-methyltransferase 2,transcription coactivator activity,protein arginine n-methyltransferase pthr11006,MGI:MGI:1202631|PMID:9405624
C1d,C1D nuclear receptor co-repressor,transcription corepressor activity,sun-cor steroid hormone receptor co-repressor pthr15341,MGI:MGI:3663964|PMID:16924111
Gmnn,geminin,transcription corepressor activity,geminin pthr13372,MGI:MGI:4834177|GO_REF:0000096
Zmynd8,"zinc finger, MYND-type containing 8",transcription corepressor activity,protein kinase c-binding protein 1 pthr46453,MGI:MGI:4834177|GO_REF:0000096
Trim32,tripartite motif-containing 32,transcription coactivator activity,tripartite motif-containing protein 2-like protein pthr25464,MGI:MGI:2152098|GO_REF:0000002
Med6,mediator complex subunit 6,transcription coregulator activity,med-6-related pthr13104,MGI:MGI:2154458|GO_REF:0000008
Med6,mediator complex subunit 6,transcription coactivator activity,med-6-related pthr13104,PMID:21873635
Med6,mediator complex subunit 6,transcription coactivator activity,med-6-related pthr13104,MGI:MGI:4834177|GO_REF:0000096
Med30,mediator complex subunit 30,transcription coregulator activity,mediator of rna polymerase ii transcription subunit 30 pthr31705,MGI:MGI:4834177|GO_REF:0000096
Med30,mediator complex subunit 30,transcription coactivator activity,mediator of rna polymerase ii transcription subunit 30 pthr31705,PMID:21873635
Med30,mediator complex subunit 30,transcription coregulator activity,mediator of rna polymerase ii transcription subunit 30 pthr31705,MGI:MGI:4834177|GO_REF:0000096
Lcor,ligand dependent nuclear receptor corepressor,transcription corepressor activity,transcription factor mlr1/2 pthr21545,MGI:MGI:2154458|GO_REF:0000008
Irf2bp2,interferon regulatory factor 2 binding protein 2,transcription corepressor activity,myelin transcription factor 1-related pthr10816,PMID:21873635
Irf2bp2,interferon regulatory factor 2 binding protein 2,transcription corepressor activity,myelin transcription factor 1-related pthr10816,PMID:21873635
Mideas,mitotic deacetylase associated SANT domain protein,transcription corepressor activity,rest corepressor  corest  protein-related pthr16089,PMID:21873635
Cbfa2t3,CBFA2/RUNX1 translocation partner 3,transcription corepressor activity,mtg8 eto  eight twenty one protein pthr10379,MGI:MGI:4834177|GO_REF:0000096
Usp22,ubiquitin specific peptidase 22,transcription coactivator activity,ubiquitin carboxyl-terminal hydrolase pthr21646,MGI:MGI:4834177|GO_REF:0000096
Usp22,ubiquitin specific peptidase 22,nuclear receptor coactivator activity,ubiquitin carboxyl-terminal hydrolase pthr21646,MGI:MGI:2154458|GO_REF:0000008
Ascc1,activating signal cointegrator 1 complex subunit 1,transcription coactivator activity,activating signal cointegrator 1 complex subunit 1 pthr13360,MGI:MGI:4834177|GO_REF:0000096
Trim15,tripartite motif-containing 15,transcription coactivator activity,e3 ubiquitin-protein ligase trim pthr24103,MGI:MGI:4834177|GO_REF:0000096
Rnf20,ring finger protein 20,transcription coactivator activity,ring finger protein-related pthr23163,MGI:MGI:4834177|GO_REF:0000096
Brd8,bromodomain containing 8,nuclear receptor coactivator activity,bromodomain-containing protein 8 pthr15398,MGI:MGI:3510471|PMID:15302918
Jazf1,JAZF zinc finger 1,transcription corepressor activity,juxtaposed with another zinc finger protein 1 pthr23057,MGI:MGI:5810254|PMID:25526086
Sirt1,sirtuin 1,transcription coactivator activity,histone deacetylase sir2 family member pthr11085,MGI:MGI:4834177|GO_REF:0000096
Sirt1,sirtuin 1,transcription corepressor activity,histone deacetylase sir2 family member pthr11085,MGI:MGI:3045940|PMID:15175761
Sirt1,sirtuin 1,transcription corepressor activity,histone deacetylase sir2 family member pthr11085,PMID:21873635
Sirt1,sirtuin 1,transcription corepressor activity,histone deacetylase sir2 family member pthr11085,MGI:MGI:4417868|GO_REF:0000096
Nr3c1,"nuclear receptor subfamily 3, group C, member 1",transcription coactivator activity,knirps-related protein-related pthr48092,MGI:MGI:4834177|GO_REF:0000096
Zxdc,ZXD family zinc finger C,transcription coactivator activity,zinc finger protein pthr46179,PMID:21873635
Zxdc,ZXD family zinc finger C,transcription coregulator activity,zinc finger protein pthr46179,MGI:MGI:4834177|GO_REF:0000096
Tcf25,transcription factor 25 (basic helix-loop-helix),transcription corepressor activity,nulp1-related pthr22684,MGI:MGI:4834177|GO_REF:0000096
Trim62,tripartite motif-containing 62,transcription coactivator activity,e3 ubiquitin-protein ligase trim pthr24103,MGI:MGI:4417868|GO_REF:0000096
Psmc3ip,"proteasome (prosome, macropain) 26S subunit, ATPase 3, interacting protein",nuclear receptor coactivator activity,tbp-1 interacting protein pthr15938,MGI:MGI:4834177|GO_REF:0000096
Psmc3ip,"proteasome (prosome, macropain) 26S subunit, ATPase 3, interacting protein",nuclear receptor coactivator activity,tbp-1 interacting protein pthr15938,MGI:MGI:4834177|GO_REF:0000096
Kat2a,K(lysine) acetyltransferase 2A,transcription coactivator activity,gh11602p pthr45750,MGI:MGI:4834177|GO_REF:0000096
Wwc1,"WW, C2 and coiled-coil domain containing 1",transcription coactivator activity,bomb/kira proteins pthr14791,MGI:MGI:4834177|GO_REF:0000096
Mid2,midline 2,transcription coactivator activity,e3 ubiquitin-protein ligase trim36-related pthr24099,MGI:MGI:4834177|GO_REF:0000096
Pou2af1,"POU domain, class 2, associating factor 1",transcription coactivator activity,pou domain class 2-associating factor 1 pthr15363,MGI:MGI:5450752|PMID:23045607
Pou2af1,"POU domain, class 2, associating factor 1",transcription coactivator activity,pou domain class 2-associating factor 1 pthr15363,PMID:21873635
Pou2af1,"POU domain, class 2, associating factor 1",transcription coactivator activity,pou domain class 2-associating factor 1 pthr15363,MGI:MGI:5440110|PMID:23019124
Ncoa3,nuclear receptor coactivator 3,transcription coactivator activity,nuclear receptor coactivator pthr10684,MGI:MGI:4834177|GO_REF:0000096
Ncoa3,nuclear receptor coactivator 3,transcription coactivator activity,nuclear receptor coactivator pthr10684,MGI:MGI:5824766|PMID:27601327
Ncoa3,nuclear receptor coactivator 3,transcription coactivator activity,nuclear receptor coactivator pthr10684,MGI:MGI:5467164|PMID:22977234
Ncoa3,nuclear receptor coactivator 3,nuclear receptor coactivator activity,nuclear receptor coactivator pthr10684,MGI:MGI:4417868|GO_REF:0000096
Ncoa3,nuclear receptor coactivator 3,nuclear receptor coactivator activity,nuclear receptor coactivator pthr10684,PMID:21873635
Ncoa3,nuclear receptor coactivator 3,nuclear receptor coactivator activity,nuclear receptor coactivator pthr10684,MGI:MGI:2183076|PMID:12130539
Ncoa2,nuclear receptor coactivator 2,transcription coactivator activity,nuclear receptor coactivator pthr10684,MGI:MGI:81398|PMID:8643509
Ncoa2,nuclear receptor coactivator 2,transcription coactivator activity,nuclear receptor coactivator pthr10684,MGI:MGI:3522402|PMID:15383530
Ncoa2,nuclear receptor coactivator 2,transcription coactivator activity,nuclear receptor coactivator pthr10684,MGI:MGI:5607392|PMID:24529706
Ncoa2,nuclear receptor coactivator 2,transcription coactivator activity,nuclear receptor coactivator pthr10684,MGI:MGI:3694879|PMID:16148126
Ncoa2,nuclear receptor coactivator 2,transcription coactivator activity,nuclear receptor coactivator pthr10684,MGI:MGI:3688383|PMID:15001550
Ncoa2,nuclear receptor coactivator 2,transcription coactivator activity,nuclear receptor coactivator pthr10684,MGI:MGI:5645210|PMID:12709428
Ncoa2,nuclear receptor coactivator 2,transcription coactivator activity,nuclear receptor coactivator pthr10684,MGI:MGI:2154576|PMID:11675124
Ncoa2,nuclear receptor coactivator 2,transcription coactivator activity,nuclear receptor coactivator pthr10684,MGI:MGI:3046495|PMID:15072553
Ncoa2,nuclear receptor coactivator 2,nuclear receptor coactivator activity,nuclear receptor coactivator pthr10684,MGI:MGI:4834177|GO_REF:0000096
Ncoa2,nuclear receptor coactivator 2,nuclear receptor coactivator activity,nuclear receptor coactivator pthr10684,MGI:MGI:3046495|PMID:15072553
Ncoa2,nuclear receptor coactivator 2,nuclear receptor coactivator activity,nuclear receptor coactivator pthr10684,PMID:21873635
Ncoa2,nuclear receptor coactivator 2,nuclear receptor coactivator activity,nuclear receptor coactivator pthr10684,MGI:MGI:5297786|PMID:16723356
Ncoa1,nuclear receptor coactivator 1,transcription coactivator activity,nuclear receptor coactivator pthr10684,MGI:MGI:3694879|PMID:16148126
Ncoa1,nuclear receptor coactivator 1,transcription coactivator activity,nuclear receptor coactivator pthr10684,MGI:MGI:4834177|GO_REF:0000096
Ncoa1,nuclear receptor coactivator 1,transcription coactivator activity,nuclear receptor coactivator pthr10684,MGI:MGI:4834177|GO_REF:0000096
Ncoa1,nuclear receptor coactivator 1,nuclear receptor coactivator activity,nuclear receptor coactivator pthr10684,PMID:21873635
Ncoa1,nuclear receptor coactivator 1,nuclear receptor coactivator activity,nuclear receptor coactivator pthr10684,MGI:MGI:2154458|GO_REF:0000008
Wdr77,WD repeat domain 77,nuclear receptor coactivator activity,methylosome protein 50 pthr46853,PMID:21873635
Wdr77,WD repeat domain 77,nuclear receptor coactivator activity,methylosome protein 50 pthr46853,MGI:MGI:4834177|GO_REF:0000096
Trim27,tripartite motif-containing 27,transcription coactivator activity,e3 ubiquitin-protein ligase trim pthr24103,MGI:MGI:4834177|GO_REF:0000096
Actn4,actinin alpha 4,transcription coactivator activity,spectrin/filamin related cytoskeletal protein pthr11915,MGI:MGI:4834177|GO_REF:0000096
Actn4,actinin alpha 4,nuclear receptor coactivator activity,spectrin/filamin related cytoskeletal protein pthr11915,PMID:21873635
Bclaf3,Bclaf1 and Thrap3 family member 3,transcription coregulator activity,thrap3/bclaf1 pthr15268,PMID:21873635
Med13l,mediator complex subunit 13-like,transcription coregulator activity,rag1-activating protein 1 pthr10791,MGI:MGI:5619441|PMID:23217706
Sirt6,sirtuin 6,transcription corepressor activity,nad-dependent protein deacetylase sirtuin-(6/7) family member pthr45853,PMID:21873635
Sirt6,sirtuin 6,transcription corepressor activity,nad-dependent protein deacetylase sirtuin-(6/7) family member pthr45853,MGI:MGI:4834177|GO_REF:0000096
Rbm14,RNA binding motif protein 14,nuclear receptor coactivator activity,serine/arginine rich splicing factor pthr23147,MGI:MGI:1927299|PMID:10369680
Rybp,RING1 and YY1 binding protein,transcription corepressor activity,rybp and yaf2-related pthr12920,PMID:21873635
Rybp,RING1 and YY1 binding protein,transcription coregulator activity,rybp and yaf2-related pthr12920,MGI:MGI:5787842|PMID:27251289
Raly,hnRNP-associated with lethal yellow,transcription coregulator activity,heterogeneous nuclear ribonucleoprotein pthr13968,MGI:MGI:4834177|GO_REF:0000096
Rbfox2,"RNA binding protein, fox-1 homolog (C. elegans) 2",transcription corepressor activity,ataxin 2-binding protein 1-related pthr15597,MGI:MGI:4834177|GO_REF:0000096
Supt3,"SPT3, SAGA and STAGA complex component",transcription coactivator activity,transcription initiation factor tfiid/supt3-related pthr11380,PMID:21873635
Supt3,"SPT3, SAGA and STAGA complex component",transcription coactivator activity,transcription initiation factor tfiid/supt3-related pthr11380,MGI:MGI:4834177|GO_REF:0000096
Tox2,TOX high mobility group box family member 2,transcription coactivator activity,agap000281-pa pthr45781,MGI:MGI:3715064|PMID:11964378
Eid1,EP300 interacting inhibitor of differentiation 1,transcription corepressor activity,ep300-interacting inhibitor of differentiation 2-related pthr15556,PMID:21873635
Eid1,EP300 interacting inhibitor of differentiation 1,transcription corepressor activity,ep300-interacting inhibitor of differentiation 2-related pthr15556,MGI:MGI:4834177|GO_REF:0000096
Phf2,PHD finger protein 2,transcription coactivator activity,phd/f-box containing protein pthr23123,PMID:21873635
Phf2,PHD finger protein 2,transcription coregulator activity,phd/f-box containing protein pthr23123,MGI:MGI:1353086|PMID:10786636
Nrbf2,nuclear receptor binding factor 2,transcription coactivator activity,nuclear receptor binding factor 2 pthr14964,MGI:MGI:4834177|GO_REF:0000096
Rbpms,RNA binding protein gene with multiple splicing,transcription coactivator activity,u1 small nuclear ribonucleoprotein a/u2 small nuclear ribonucleoprotein b pthr10501,MGI:MGI:4834177|GO_REF:0000096
Nupr1,nuclear protein transcription regulator 1,transcription coactivator activity,nuclear protein 1 and 2 pthr17149,MGI:MGI:3613433|PMID:15616592
Carm1,coactivator-associated arginine methyltransferase 1,transcription coactivator activity,protein arginine n-methyltransferase pthr11006,MGI:MGI:4887324|PMID:18188184
Carm1,coactivator-associated arginine methyltransferase 1,transcription coactivator activity,protein arginine n-methyltransferase pthr11006,MGI:MGI:1891510|PMID:10381882
Carm1,coactivator-associated arginine methyltransferase 1,transcription coactivator activity,protein arginine n-methyltransferase pthr11006,MGI:MGI:4887320|PMID:19843527
Carm1,coactivator-associated arginine methyltransferase 1,nuclear receptor coactivator activity,protein arginine n-methyltransferase pthr11006,MGI:MGI:4834177|GO_REF:0000096
Cdyl,"chromodomain protein, Y chromosome-like",transcription corepressor activity,family not named pthr43684,PMID:21873635
Cdyl,"chromodomain protein, Y chromosome-like",transcription corepressor activity,family not named pthr43684,MGI:MGI:4429726|PMID:20159955
Per2,period circadian clock 2,transcription coactivator activity,period circadian protein pthr11269,MGI:MGI:4844227|PMID:20636338
Mta2,"metastasis-associated gene family, member 2",transcription coregulator activity,metastasis-associated protein and mesoderm induction early response protein pthr10865,PMID:21873635
Mta2,"metastasis-associated gene family, member 2",transcription corepressor activity,metastasis-associated protein and mesoderm induction early response protein pthr10865,PMID:21873635
Mta2,"metastasis-associated gene family, member 2",transcription coactivator activity,metastasis-associated protein and mesoderm induction early response protein pthr10865,MGI:MGI:4834177|GO_REF:0000096
Trp53bp1,transformation related protein 53 binding protein 1,transcription coregulator activity,tumor suppressor p53-binding protein 1 pthr15321,MGI:MGI:4834177|GO_REF:0000096
Taf12,TATA-box binding protein associated factor 12,transcription coactivator activity,transcription initiation factor tfiid subunit 12 pthr12264,PMID:21873635
Pxn,paxillin,transcription coregulator activity,paxillin-related pthr24216,PMID:21873635
Zfp541,zinc finger protein 541,transcription corepressor activity,rest corepressor  corest  protein-related pthr16089,PMID:21873635
Rcor3,REST corepressor 3,transcription corepressor activity,rest corepressor  corest  protein-related pthr16089,MGI:MGI:3831457|PMID:18945672
Tdg,thymine DNA glycosylase,transcription coregulator activity,g/t and g/u mismatch-specific dna glycosylase pthr12159,MGI:MGI:4881351|PMID:21035761
Pparg,peroxisome proliferator activated receptor gamma,nuclear receptor coactivator activity,nuclear hormone receptor pthr24082,PMID:21873635
Rsf1,remodeling and spacing factor 1,transcription coregulator activity,histone acetyltransferase pthr10615,MGI:MGI:4834177|GO_REF:0000096
Tada1,transcriptional adaptor 1,transcription coactivator activity,transcriptional adapter 1 pthr21277,PMID:21873635
Tada1,transcriptional adaptor 1,transcription coactivator activity,transcriptional adapter 1 pthr21277,MGI:MGI:2154458|GO_REF:0000008
Snw1,SNW domain containing 1,transcription coactivator activity,nuclear protein skip-related pthr12096,MGI:MGI:4834177|GO_REF:0000096
Snw1,SNW domain containing 1,transcription coactivator activity,nuclear protein skip-related pthr12096,MGI:MGI:4834177|GO_REF:0000096
Snw1,SNW domain containing 1,transcription corepressor activity,nuclear protein skip-related pthr12096,MGI:MGI:4834177|GO_REF:0000096
Trim8,tripartite motif-containing 8,transcription coactivator activity,family not named pthr25465,MGI:MGI:4834177|GO_REF:0000096
Dhx9,DEAH (Asp-Glu-Ala-His) box polypeptide 9,transcription coregulator activity,atp-dependent rna helicase pthr18934,MGI:MGI:4834177|GO_REF:0000096
Dhx9,DEAH (Asp-Glu-Ala-His) box polypeptide 9,transcription coactivator activity,atp-dependent rna helicase pthr18934,PMID:21873635
Gm20517,Mediator of RNA polymerase II transcription subunit 20,transcription coactivator activity,ubiquitin specific protease homolog 49 pthr12465,PMID:21873635
Kdm7a,lysine (K)-specific demethylase 7A,transcription coregulator activity,phd/f-box containing protein pthr23123,PMID:21873635
Mta3,metastasis associated 3,transcription coactivator activity,metastasis-associated protein and mesoderm induction early response protein pthr10865,PMID:21873635
Mta3,metastasis associated 3,transcription corepressor activity,metastasis-associated protein and mesoderm induction early response protein pthr10865,MGI:MGI:4834177|GO_REF:0000096
Pir,pirin,transcription coregulator activity,pirin-related pthr13903,MGI:MGI:5306308|PMID:16407227
Hipk2,homeodomain interacting protein kinase 2,transcription coactivator activity,dual specificity protein kinase pthr24058,MGI:MGI:4834177|GO_REF:0000096
Hipk2,homeodomain interacting protein kinase 2,transcription corepressor activity,dual specificity protein kinase pthr24058,MGI:MGI:1303245|PMID:9748262
Hipk2,homeodomain interacting protein kinase 2,transcription corepressor activity,dual specificity protein kinase pthr24058,PMID:21873635
Hipk2,homeodomain interacting protein kinase 2,transcription coactivator activity,dual specificity protein kinase pthr24058,PMID:21873635
Hipk2,homeodomain interacting protein kinase 2,transcription corepressor activity,dual specificity protein kinase pthr24058,MGI:MGI:2152098|GO_REF:0000002
Nmi,N-myc (and STAT) interactor,transcription coregulator activity,interferon-induced protein 35/nmi n-myc/stat interacting protein pthr15225,PMID:21873635
Hmga2,high mobility group AT-hook 2,transcription coregulator activity,high mobility group proteins hmg-a and c pthr23341,MGI:MGI:1339355|PMID:9724754
Pias1,protein inhibitor of activated STAT 1,transcription corepressor activity,zinc finger miz domain-containing protein pthr10782,PMID:21873635
Pias1,protein inhibitor of activated STAT 1,transcription coregulator activity,zinc finger miz domain-containing protein pthr10782,PMID:21873635
Pias3,protein inhibitor of activated STAT 3,transcription coregulator activity,zinc finger miz domain-containing protein pthr10782,MGI:MGI:1891490|PMID:10755619
Zbtb32,zinc finger and BTB domain containing 32,transcription corepressor activity,zinc finger and btb domain-containing pthr24399,MGI:MGI:6103958|PMID:28930673
